state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CO,2020-11-20,"6,958",69.68,"9,985","1,690",16.93,"1,020",74.54,"1,369"
DE,2020-11-20,"1,802",71.11,"2,534",225,8.88,146,83.91,174
FL,2020-11-20,"40,209",78.42,"51,274","4,078",8.12,"5,027",80.44,"6,249"
HI,2020-11-20,"1,728",68.2,"2,533",80,3.16,145,64.73,224
IA,2020-11-20,"5,276",66.52,"7,932","1,420",18.13,517,75.04,689
IL,2020-11-20,"20,757",70.77,"29,330","6,229",21.24,"2,541",69.6,"3,651"
KY,2020-11-20,"8,570",72.21,"11,867","1,546",13.02,"1,194",76.51,"1,561"
MA,2020-11-20,"11,918",68.22,"17,469",873,5.0,"1,018",52.83,"1,927"
ME,2020-11-20,"1,966",69.27,"2,838",125,4.4,239,73.09,327
MN,2020-11-20,"7,908",76.17,"10,382","2,014",19.4,815,82.66,986
MO,2020-11-20,"11,475",78.75,"14,571","2,740",18.8,"1,560",86.98,"1,793"
MS,2020-11-20,"5,254",65.36,"8,039",956,11.89,686,80.61,851
MT,2020-11-20,"1,942",67.24,"2,889",458,15.85,169,72.22,234
ND,2020-11-20,"1,592",79.56,"2,001",473,23.64,143,93.46,153
NH,2020-11-20,"1,937",69.93,"2,770",133,4.8,179,63.48,282
NJ,2020-11-20,"14,556",75.13,"19,375","2,644",13.65,"1,448",64.44,"2,247"
NV,2020-11-20,"5,676",76.59,"7,411","1,277",17.63,735,83.14,884
NY,2020-11-20,"39,854",74.37,"53,588","3,821",7.13,"4,200",61.79,"6,797"
OK,2020-11-20,"6,972",73.49,"9,488","1,479",16.02,916,87.49,"1,047"
PA,2020-11-20,"24,221",75.31,"32,163","4,285",13.46,"3,209",82.6,"3,885"
SC,2020-11-20,"7,646",79.08,"9,669",752,7.78,972,77.27,"1,258"
TN,2020-11-20,"12,342",74.59,"16,546","2,177",13.55,"1,833",80.83,"2,160"
UT,2020-11-20,"3,249",62.19,"5,224",589,11.27,498,79.09,629
VA,2020-11-20,"11,607",67.96,"17,079","1,374",8.04,"1,368",67.46,"2,028"
AK,2020-11-21,884,61.71,"1,432",136,9.49,87,66.41,131
AR,2020-11-21,"5,126",69.1,"7,418",991,13.36,774,78.9,981
CO,2020-11-21,"6,816",67.49,"10,099","1,637",16.21,"1,031",70.76,"1,457"
DE,2020-11-21,"1,782",70.35,"2,533",221,8.72,149,85.63,174
FL,2020-11-21,"38,873",75.72,"51,339","4,127",8.21,"4,924",78.26,"6,292"
HI,2020-11-21,"1,742",69.03,"2,524",95,3.76,134,58.01,231
IA,2020-11-21,"5,029",62.91,"7,994","1,362",17.26,535,77.65,689
IL,2020-11-21,"20,070",68.64,"29,240","6,202",21.21,"2,476",68.0,"3,641"
KY,2020-11-21,"8,302",69.97,"11,866","1,550",13.07,"1,193",76.43,"1,561"
MA,2020-11-21,"11,604",66.45,"17,463",896,5.13,"1,003",52.21,"1,921"
ME,2020-11-21,"1,899",67.29,"2,822",127,4.5,228,73.55,310
MN,2020-11-21,"7,688",74.21,"10,361","1,992",19.23,813,82.12,990
MO,2020-11-21,"11,028",76.14,"14,483","2,651",18.3,"1,568",86.77,"1,807"
MS,2020-11-21,"5,003",62.81,"7,965",955,11.99,658,77.05,854
MT,2020-11-21,"1,888",65.67,"2,875",446,15.53,171,77.38,221
ND,2020-11-21,"1,534",77.33,"1,983",458,23.1,131,89.12,147
NH,2020-11-21,"1,851",66.82,"2,770",133,4.8,171,60.64,282
NJ,2020-11-21,"14,022",72.69,"19,289","2,684",13.91,"1,448",64.61,"2,241"
NV,2020-11-21,"5,777",77.62,"7,443","1,268",17.42,731,82.88,882
NY,2020-11-21,"38,604",72.01,"53,612","3,992",7.45,"4,183",61.29,"6,825"
OK,2020-11-21,"6,669",71.15,"9,373","1,474",16.17,894,84.85,"1,053"
PA,2020-11-21,"23,368",73.06,"31,983","4,343",13.72,"3,162",81.18,"3,895"
SC,2020-11-21,"7,330",75.78,"9,673",774,8.01,952,75.5,"1,261"
TN,2020-11-21,"11,904",72.19,"16,490","2,158",13.48,"1,817",79.68,"2,175"
UT,2020-11-21,"3,061",58.61,"5,223",568,10.87,480,75.95,632
VA,2020-11-21,"11,021",64.59,"17,063","1,388",8.13,"1,346",66.57,"2,022"
AK,2020-11-22,863,60.01,"1,438",142,9.87,83,60.58,137
AR,2020-11-22,"4,885",65.92,"7,410",995,13.43,770,78.38,983
CO,2020-11-22,"6,486",64.15,"10,111","1,619",16.01,"1,000",68.59,"1,458"
DE,2020-11-22,"1,729",68.94,"2,508",220,8.77,150,86.21,174
FL,2020-11-22,"37,906",73.88,"51,304","4,301",8.56,"4,814",76.52,"6,292"
HI,2020-11-22,"1,681",66.93,"2,512",81,3.22,120,55.81,215
IA,2020-11-22,"4,875",61.09,"7,980","1,324",16.81,552,80.12,689
IL,2020-11-22,"19,661",67.21,"29,255","6,200",21.19,"2,436",66.94,"3,639"
KY,2020-11-22,"7,972",67.18,"11,867","1,596",13.45,"1,171",75.02,"1,561"
MA,2020-11-22,"11,238",64.33,"17,468",924,5.29,969,50.44,"1,921"
ME,2020-11-22,"1,827",64.35,"2,839",130,4.58,212,66.88,317
MN,2020-11-22,"7,448",72.81,"10,230","2,007",19.62,775,78.05,993
MO,2020-11-22,"10,753",75.97,"14,155","2,640",18.65,"1,529",85.56,"1,787"
MS,2020-11-22,"4,896",61.51,"7,960",965,12.12,643,75.91,847
MT,2020-11-22,"1,810",63.02,"2,872",449,15.63,153,66.23,231
ND,2020-11-22,"1,487",75.18,"1,978",471,23.81,130,89.66,145
NH,2020-11-22,"1,751",63.21,"2,770",138,5.0,163,57.6,283
NJ,2020-11-22,"13,828",71.97,"19,213","2,773",14.43,"1,449",64.69,"2,240"
NV,2020-11-22,"5,732",77.06,"7,438","1,305",17.94,721,80.83,892
NY,2020-11-22,"37,649",70.59,"53,331","4,041",7.58,"4,059",59.65,"6,804"
OK,2020-11-22,"6,526",70.12,"9,307","1,490",16.47,909,86.82,"1,047"
PA,2020-11-22,"22,746",71.25,"31,923","4,512",14.27,"3,087",79.62,"3,877"
SC,2020-11-22,"7,200",74.55,"9,658",814,8.43,921,73.39,"1,255"
TN,2020-11-22,"11,754",71.34,"16,476","2,240",14.01,"1,812",79.85,"2,164"
UT,2020-11-22,"2,818",53.94,"5,224",553,10.59,446,70.49,632
VA,2020-11-22,"10,586",62.05,"17,061","1,422",8.33,"1,343",66.35,"2,024"
AK,2020-11-23,850,59.11,"1,438",139,9.67,81,63.78,127
AR,2020-11-23,"4,926",66.94,"7,358","1,001",13.6,770,77.86,989
CO,2020-11-23,"6,480",64.23,"10,089","1,665",16.5,"1,006",68.25,"1,474"
DE,2020-11-23,"1,743",69.8,"2,497",248,9.93,150,86.21,174
FL,2020-11-23,"38,481",74.97,"51,326","4,460",8.87,"4,842",77.06,"6,283"
HI,2020-11-23,"1,697",67.61,"2,510",73,2.91,135,60.27,224
IA,2020-11-23,"4,939",61.92,"7,977","1,342",17.04,539,78.34,688
IL,2020-11-23,"19,755",67.48,"29,274","6,260",21.38,"2,483",68.22,"3,640"
KY,2020-11-23,"8,151",68.68,"11,868","1,673",14.1,"1,173",75.14,"1,561"
MA,2020-11-23,"11,268",64.51,"17,468",923,5.28,973,50.6,"1,923"
ME,2020-11-23,"1,843",65.12,"2,830",146,5.14,221,69.28,319
MN,2020-11-23,"7,442",73.08,"10,184","2,032",19.95,783,78.46,998
MO,2020-11-23,"10,742",75.79,"14,174","2,700",19.05,"1,515",84.17,"1,800"
MS,2020-11-23,"4,970",62.03,"8,013",990,12.36,657,78.03,842
MT,2020-11-23,"1,818",63.17,"2,878",452,15.71,150,66.96,224
ND,2020-11-23,"1,498",74.31,"2,016",474,23.49,124,92.91,134
NH,2020-11-23,"1,755",63.36,"2,770",138,4.98,177,62.54,283
NJ,2020-11-23,"14,100",72.95,"19,329","2,901",15.01,"1,483",65.91,"2,250"
NV,2020-11-23,"5,814",78.38,"7,418","1,424",19.63,735,82.31,893
NY,2020-11-23,"38,442",71.86,"53,496","4,218",7.89,"4,028",58.55,"6,880"
OK,2020-11-23,"6,510",69.26,"9,399","1,498",16.39,919,87.61,"1,049"
PA,2020-11-23,"23,268",72.83,"31,951","4,681",14.8,"3,096",79.77,"3,882"
SC,2020-11-23,"7,333",75.64,"9,695",848,8.75,916,72.8,"1,259"
TN,2020-11-23,"12,119",73.4,"16,512","2,278",14.22,"1,842",81.03,"2,172"
UT,2020-11-23,"2,812",53.82,"5,224",574,10.99,440,69.62,632
VA,2020-11-23,"11,046",64.6,"17,100","1,478",8.64,"1,378",67.98,"2,027"
AK,2020-11-24,916,63.74,"1,437",143,9.95,87,69.6,125
AR,2020-11-24,"5,255",70.61,"7,442","1,056",14.19,782,80.37,973
CO,2020-11-24,"6,767",66.7,"10,146","1,716",16.91,"1,064",71.94,"1,479"
DE,2020-11-24,"1,833",72.59,"2,525",232,9.19,155,89.08,174
FL,2020-11-24,"39,902",77.45,"51,522","4,549",9.02,"5,005",79.63,"6,286"
HI,2020-11-24,"1,716",68.22,"2,516",75,2.98,132,61.68,214
IA,2020-11-24,"5,131",64.23,"7,988","1,306",16.56,565,81.18,696
IL,2020-11-24,"20,364",69.44,"29,325","6,247",21.3,"2,516",68.76,"3,660"
KY,2020-11-24,"8,504",71.65,"11,868","1,761",14.84,"1,199",73.24,"1,637"
MA,2020-11-24,"11,562",66.19,"17,469",932,5.34,998,51.95,"1,920"
ME,2020-11-24,"1,920",67.37,"2,850",149,5.23,233,72.59,321
MN,2020-11-24,"7,696",74.67,"10,308","2,042",19.81,821,80.81,"1,016"
MO,2020-11-24,"11,159",77.25,"14,446","2,704",18.72,"1,556",84.57,"1,840"
MS,2020-11-24,"5,145",63.76,"8,069",994,12.32,681,79.84,853
MT,2020-11-24,"1,901",65.8,"2,889",475,16.44,161,68.8,234
ND,2020-11-24,"1,536",75.63,"2,031",454,22.35,124,89.21,139
NH,2020-11-24,"1,867",67.4,"2,770",146,5.27,176,62.19,283
NJ,2020-11-24,"14,638",75.49,"19,391","3,002",15.48,"1,540",67.87,"2,269"
NV,2020-11-24,"5,913",79.83,"7,407","1,442",19.9,741,84.2,880
NY,2020-11-24,"39,501",73.88,"53,466","4,494",8.41,"4,196",61.03,"6,875"
OK,2020-11-24,"6,877",72.77,"9,450","1,527",16.61,924,87.83,"1,052"
PA,2020-11-24,"24,341",75.93,"32,056","4,967",15.65,"3,238",82.75,"3,913"
SC,2020-11-24,"7,650",78.57,"9,736",881,9.05,963,76.31,"1,262"
TN,2020-11-24,"12,427",75.05,"16,558","2,287",14.23,"1,890",82.18,"2,194"
UT,2020-11-24,"2,980",57.06,"5,223",564,10.8,459,70.94,647
VA,2020-11-24,"11,612",68.09,"17,053","1,496",8.77,"1,421",70.17,"2,025"
AK,2020-11-25,921,63.91,"1,441",156,10.83,87,69.05,126
AR,2020-11-25,"5,260",70.87,"7,422","1,029",13.86,776,79.97,971
CO,2020-11-25,"6,792",66.84,"10,163","1,772",17.44,"1,039",72.35,"1,436"
DE,2020-11-25,"1,787",70.77,"2,525",234,9.27,152,87.36,174
FL,2020-11-25,"39,405",76.47,"51,533","4,446",8.81,"4,988",79.17,"6,300"
HI,2020-11-25,"1,667",66.36,"2,512",61,2.43,124,57.94,214
IA,2020-11-25,"5,117",64.16,"7,975","1,260",16.01,537,76.82,699
IL,2020-11-25,"20,218",68.96,"29,321","6,231",21.25,"2,500",68.27,"3,661"
KY,2020-11-25,"8,529",71.88,"11,865","1,773",14.94,"1,200",76.87,"1,561"
MA,2020-11-25,"11,662",66.75,"17,471",956,5.47,"1,023",53.14,"1,925"
ME,2020-11-25,"1,894",66.57,"2,845",140,4.92,227,70.72,321
MN,2020-11-25,"7,569",75.82,"9,983","1,980",19.83,828,84.4,981
MO,2020-11-25,"11,249",78.52,"14,326","2,735",19.09,"1,582",86.35,"1,832"
MS,2020-11-25,"5,143",63.91,"8,047",993,12.34,644,76.76,839
MT,2020-11-25,"1,915",66.33,"2,887",492,17.06,166,70.7,236
ND,2020-11-25,"1,546",76.16,"2,030",462,22.76,136,94.44,144
NH,2020-11-25,"1,891",68.22,"2,772",149,5.38,176,62.41,282
NJ,2020-11-25,"14,681",75.68,"19,399","2,952",15.22,"1,492",65.67,"2,272"
NV,2020-11-25,"5,853",78.58,"7,448","1,490",20.44,718,81.68,879
NY,2020-11-25,"39,016",72.14,"54,085","4,461",8.25,"4,209",59.97,"7,019"
OK,2020-11-25,"6,864",72.76,"9,435","1,558",17.01,918,86.88,"1,056"
PA,2020-11-25,"24,172",75.64,"31,955","4,946",15.63,"3,238",82.37,"3,931"
SC,2020-11-25,"7,574",78.07,"9,702",844,8.7,942,74.88,"1,258"
TN,2020-11-25,"12,294",74.73,"16,452","2,290",14.34,"1,857",81.3,"2,177"
UT,2020-11-25,"3,038",58.19,"5,221",571,10.94,478,73.77,648
VA,2020-11-25,"11,446",66.97,"17,090","1,518",8.88,"1,381",68.43,"2,018"
AK,2020-11-26,905,62.89,"1,439",159,11.05,99,76.74,129
AR,2020-11-26,"4,818",66.2,"7,278","1,005",13.81,779,80.89,963
CO,2020-11-26,"6,540",64.49,"10,140","1,737",17.13,987,68.59,"1,439"
DE,2020-11-26,"1,672",66.93,"2,498",239,9.57,149,85.63,174
FL,2020-11-26,"36,678",71.76,"51,110","4,346",8.69,"4,826",77.61,"6,218"
HI,2020-11-26,"1,639",65.14,"2,516",70,2.78,132,60.27,219
IA,2020-11-26,"4,802",60.21,"7,976","1,211",15.38,504,72.73,693
IL,2020-11-26,"19,225",65.69,"29,266","6,005",20.52,"2,444",66.68,"3,665"
KY,2020-11-26,"8,219",68.53,"11,993","1,737",14.48,"1,178",75.51,"1,560"
MA,2020-11-26,"11,048",63.32,"17,448",957,5.48,971,50.49,"1,923"
ME,2020-11-26,"1,831",64.18,"2,853",148,5.19,222,70.25,316
MN,2020-11-26,"7,168",73.28,"9,782","1,986",20.3,816,84.82,962
MO,2020-11-26,"10,571",74.0,"14,286","2,602",18.21,"1,504",84.71,"1,776"
MS,2020-11-26,"4,736",59.69,"7,934",987,12.44,657,77.29,850
MT,2020-11-26,"1,834",63.51,"2,888",480,16.6,166,69.75,238
ND,2020-11-26,"1,449",74.04,"1,957",457,23.35,129,90.21,143
NH,2020-11-26,"1,830",66.04,"2,771",142,5.12,163,57.8,282
NJ,2020-11-26,"13,659",70.94,"19,255","2,959",15.37,"1,504",66.43,"2,264"
NV,2020-11-26,"5,678",76.16,"7,455","1,489",20.41,701,80.3,873
NY,2020-11-26,"36,600",68.11,"53,739","4,458",8.29,"4,082",58.14,"7,021"
OK,2020-11-26,"6,456",68.58,"9,414","1,532",16.77,876,83.11,"1,054"
PA,2020-11-26,"22,916",71.66,"31,978","4,896",15.46,"3,143",81.04,"3,879"
SC,2020-11-26,"7,115",73.38,"9,696",859,8.86,924,73.22,"1,262"
TN,2020-11-26,"11,766",71.81,"16,385","2,301",14.46,"1,795",79.05,"2,162"
UT,2020-11-26,"2,764",52.97,"5,219",564,10.81,454,69.42,654
VA,2020-11-26,"10,665",62.42,"17,086","1,520",8.9,"1,341",66.35,"2,021"
AK,2020-11-27,865,59.9,"1,444",154,10.66,86,69.35,124
AR,2020-11-27,"4,699",65.01,"7,228","1,001",13.85,764,78.25,977
CO,2020-11-27,"6,292",62.11,"10,130","1,780",17.57,972,66.12,"1,470"
DE,2020-11-27,"1,616",65.24,"2,477",243,9.81,139,79.89,174
FL,2020-11-27,"35,619",69.74,"51,073","4,374",8.75,"4,750",76.51,"6,208"
HI,2020-11-27,"1,626",64.83,"2,508",64,2.55,133,60.45,220
IA,2020-11-27,"4,577",57.29,"7,989","1,199",15.21,502,72.33,694
IL,2020-11-27,"18,804",64.29,"29,246","5,930",20.28,"2,448",66.8,"3,665"
KY,2020-11-27,"7,908",66.63,"11,868","1,743",14.69,"1,152",73.85,"1,560"
MA,2020-11-27,"10,745",61.6,"17,442",995,5.7,959,49.87,"1,923"
ME,2020-11-27,"1,746",61.24,"2,851",155,5.44,214,66.61,320
MN,2020-11-27,"7,058",72.68,"9,711","1,997",20.56,784,82.35,952
MO,2020-11-27,"10,124",71.71,"14,118","2,530",17.92,"1,516",84.85,"1,786"
MS,2020-11-27,"4,543",57.45,"7,908",993,12.56,646,75.47,856
MT,2020-11-27,"1,796",62.31,"2,883",476,16.51,161,67.93,237
ND,2020-11-27,"1,396",72.48,"1,926",442,22.95,126,91.97,137
NH,2020-11-27,"1,720",62.09,"2,770",142,5.13,168,59.57,282
NJ,2020-11-27,"13,346",69.44,"19,220","2,959",15.4,"1,461",64.5,"2,265"
NV,2020-11-27,"5,521",74.14,"7,447","1,490",20.46,717,81.2,883
NY,2020-11-27,"35,796",67.08,"53,368","4,525",8.48,"3,952",56.59,"6,983"
OK,2020-11-27,"6,208",66.61,"9,319","1,526",16.88,866,82.71,"1,047"
PA,2020-11-27,"22,564",70.7,"31,914","5,016",15.87,"3,111",80.24,"3,877"
SC,2020-11-27,"6,954",72.0,"9,658",853,8.83,893,70.76,"1,262"
TN,2020-11-27,"11,597",70.64,"16,416","2,355",14.78,"1,800",79.05,"2,167"
UT,2020-11-27,"2,626",50.31,"5,219",553,10.6,425,65.59,648
VA,2020-11-27,"10,495",61.48,"17,071","1,546",9.06,"1,328",65.61,"2,024"
AK,2020-11-28,872,60.43,"1,443",158,10.95,93,76.23,122
AR,2020-11-28,"4,784",65.48,"7,307",998,13.66,769,78.15,984
CO,2020-11-28,"6,533",64.31,"10,158","1,808",17.8,977,66.69,"1,465"
DE,2020-11-28,"1,610",65.1,"2,473",243,9.83,145,83.33,174
FL,2020-11-28,"36,115",70.89,"50,946","4,570",9.16,"4,736",75.97,"6,234"
HI,2020-11-28,"1,590",63.6,"2,500",64,2.56,130,59.59,219
IA,2020-11-28,"4,512",56.49,"7,988","1,164",14.77,500,71.94,695
IL,2020-11-28,"18,833",64.36,"29,261","5,869",20.06,"2,401",65.5,"3,665"
KY,2020-11-28,"7,968",67.15,"11,866","1,738",14.65,"1,150",73.72,"1,560"
MA,2020-11-28,"10,695",61.25,"17,461","1,013",5.8,958,49.84,"1,922"
ME,2020-11-28,"1,775",62.54,"2,838",157,5.53,218,70.03,312
MN,2020-11-28,"7,108",72.6,"9,790","2,036",20.8,788,82.39,957
MO,2020-11-28,"9,902",70.86,"13,975","2,556",18.29,"1,526",84.68,"1,802"
MS,2020-11-28,"4,543",57.62,"7,885","1,003",12.72,660,76.74,860
MT,2020-11-28,"1,784",61.99,"2,878",468,16.26,159,67.37,236
ND,2020-11-28,"1,469",75.68,"1,941",449,23.13,128,90.14,142
NH,2020-11-28,"1,733",62.56,"2,770",152,5.49,173,61.35,282
NJ,2020-11-28,"13,481",70.06,"19,241","3,005",15.62,"1,470",64.9,"2,265"
NV,2020-11-28,"5,556",74.64,"7,444","1,540",21.15,714,80.01,893
NY,2020-11-28,"36,061",67.18,"53,679","4,751",8.85,"3,932",55.96,"7,026"
OK,2020-11-28,"6,124",65.67,"9,325","1,545",17.09,893,83.93,"1,064"
PA,2020-11-28,"22,808",71.37,"31,957","5,247",16.58,"3,151",81.24,"3,878"
SC,2020-11-28,"6,890",72.12,"9,554",905,9.47,904,71.79,"1,260"
TN,2020-11-28,"11,543",70.26,"16,428","2,325",14.58,"1,776",78.08,"2,167"
UT,2020-11-28,"2,565",49.15,"5,219",534,10.23,432,68.46,631
VA,2020-11-28,"10,553",61.84,"17,066","1,591",9.32,"1,316",65.22,"2,017"
AK,2020-11-29,870,60.42,"1,440",161,11.18,93,75.0,124
AR,2020-11-29,"4,904",67.0,"7,319","1,036",14.15,793,80.18,989
CO,2020-11-29,"6,521",64.25,"10,149","1,840",18.13,987,68.16,"1,448"
DE,2020-11-29,"1,637",66.3,"2,469",289,11.71,145,83.33,174
FL,2020-11-29,"36,977",72.26,"51,170","4,671",9.32,"4,689",75.28,"6,229"
HI,2020-11-29,"1,607",64.43,"2,494",66,2.65,130,59.91,217
IA,2020-11-29,"4,470",56.02,"7,980","1,148",14.58,493,71.14,693
IL,2020-11-29,"18,877",64.5,"29,265","5,867",20.05,"2,401",65.54,"3,664"
KY,2020-11-29,"8,031",67.68,"11,866","1,764",14.87,"1,144",73.33,"1,560"
MA,2020-11-29,"10,866",62.41,"17,411","1,105",6.35,962,50.05,"1,922"
ME,2020-11-29,"1,778",62.5,"2,845",172,6.05,218,69.87,312
MN,2020-11-29,"7,005",71.78,"9,759","2,050",21.01,796,82.83,961
MO,2020-11-29,"9,985",71.92,"13,884","2,584",18.61,"1,526",84.38,"1,809"
MS,2020-11-29,"4,592",58.26,"7,882","1,046",13.27,653,76.55,853
MT,2020-11-29,"1,774",61.67,"2,876",452,15.71,164,68.91,238
ND,2020-11-29,"1,485",75.94,"1,956",456,23.34,120,92.69,130
NH,2020-11-29,"1,773",64.01,"2,770",167,6.03,167,59.01,283
NJ,2020-11-29,"13,722",71.22,"19,266","3,157",16.39,"1,499",66.01,"2,271"
NV,2020-11-29,"5,636",75.6,"7,455","1,581",21.69,710,80.68,880
NY,2020-11-29,"36,496",67.97,"53,695","4,889",9.11,"3,904",55.76,"7,002"
OK,2020-11-29,"6,275",67.29,"9,326","1,582",17.49,901,85.08,"1,059"
PA,2020-11-29,"23,186",72.39,"32,029","5,463",17.22,"3,159",80.95,"3,902"
SC,2020-11-29,"7,025",73.48,"9,561",894,9.35,944,74.98,"1,259"
TN,2020-11-29,"11,709",71.29,"16,425","2,462",15.44,"1,814",79.24,"2,172"
UT,2020-11-29,"2,624",50.26,"5,221",553,10.59,444,70.36,631
VA,2020-11-29,"10,674",62.63,"17,042","1,614",9.47,"1,336",66.17,"2,019"
AK,2020-11-30,859,59.74,"1,438",151,10.5,105,84.68,124
AR,2020-11-30,"5,020",68.18,"7,363","1,088",14.78,785,79.61,986
CO,2020-11-30,"6,577",64.86,"10,140","1,877",18.51,973,67.29,"1,446"
DE,2020-11-30,"1,655",66.71,"2,481",303,12.21,143,82.18,174
FL,2020-11-30,"38,350",74.5,"51,474","4,824",9.57,"4,803",76.84,"6,251"
HI,2020-11-30,"1,705",67.87,"2,512",64,2.57,148,65.49,226
IA,2020-11-30,"4,712",59.08,"7,975","1,157",14.7,505,72.25,699
IL,2020-11-30,"19,325",65.93,"29,310","5,950",20.3,"2,409",65.7,"3,667"
KY,2020-11-30,"8,260",69.61,"11,866","1,801",15.18,"1,137",72.88,"1,560"
MA,2020-11-30,"11,055",63.73,"17,346","1,111",6.4,958,50.74,"1,888"
ME,2020-11-30,"1,835",64.3,"2,854",175,6.13,222,69.38,320
MN,2020-11-30,"7,015",72.05,"9,736","2,058",21.13,767,81.9,936
MO,2020-11-30,"10,243",72.78,"14,074","2,687",19.09,"1,524",84.57,"1,802"
MS,2020-11-30,"4,894",61.35,"7,977","1,093",13.7,667,78.93,845
MT,2020-11-30,"1,828",63.38,"2,884",455,15.78,167,72.61,230
ND,2020-11-30,"1,480",74.6,"1,984",462,23.31,119,88.81,134
NH,2020-11-30,"1,801",65.02,"2,770",169,6.1,161,57.09,282
NJ,2020-11-30,"14,311",73.91,"19,364","3,212",16.59,"1,521",66.42,"2,290"
NV,2020-11-30,"5,775",77.44,"7,457","1,613",22.13,709,80.02,886
NY,2020-11-30,"38,112",70.95,"53,714","5,198",9.68,"3,965",56.56,"7,010"
OK,2020-11-30,"6,445",68.53,"9,405","1,620",17.76,900,84.43,"1,066"
PA,2020-11-30,"23,637",73.34,"32,228","5,662",17.74,"3,237",82.79,"3,910"
SC,2020-11-30,"7,418",77.17,"9,613",952,9.9,986,79.26,"1,244"
TN,2020-11-30,"12,144",73.91,"16,432","2,553",16.0,"1,821",79.81,"2,174"
UT,2020-11-30,"2,667",51.08,"5,221",561,10.75,431,66.0,653
VA,2020-11-30,"11,200",65.54,"17,089","1,713",10.02,"1,384",68.31,"2,026"
AK,2020-12-01,897,62.33,"1,439",164,11.4,99,80.49,123
AR,2020-12-01,"5,398",72.05,"7,493","1,088",14.52,807,81.11,995
CO,2020-12-01,"6,962",68.52,"10,160","1,920",18.9,"1,032",71.03,"1,453"
DE,2020-12-01,"1,818",72.49,"2,508",328,13.08,150,86.21,174
FL,2020-12-01,"40,815",78.79,"51,804","5,018",9.89,"5,052",80.45,"6,280"
HI,2020-12-01,"1,746",69.56,"2,510",63,2.51,153,67.7,226
IA,2020-12-01,"4,998",62.62,"7,982","1,173",14.89,533,77.02,692
IL,2020-12-01,"20,341",69.36,"29,327","5,919",20.18,"2,487",67.55,"3,682"
KY,2020-12-01,"8,618",72.63,"11,866","1,791",15.09,"1,182",75.8,"1,560"
MA,2020-12-01,"11,672",68.04,"17,154","1,178",6.87,"1,020",54.08,"1,886"
ME,2020-12-01,"1,941",67.8,"2,863",185,6.46,230,73.48,313
MN,2020-12-01,"7,368",73.88,"9,973","2,033",20.39,812,83.28,975
MO,2020-12-01,"11,048",76.12,"14,514","2,730",18.81,"1,565",86.32,"1,813"
MS,2020-12-01,"5,230",64.97,"8,050","1,061",13.18,708,82.52,858
MT,2020-12-01,"1,941",67.23,"2,887",449,15.55,172,71.67,240
ND,2020-12-01,"1,527",75.62,"2,019",451,22.34,126,91.3,138
NH,2020-12-01,"1,974",71.24,"2,771",181,6.53,166,58.69,282
NJ,2020-12-01,"15,278",78.44,"19,478","3,386",17.38,"1,590",68.21,"2,331"
NV,2020-12-01,"5,974",80.08,"7,459","1,666",22.85,748,84.62,884
NY,2020-12-01,"40,321",75.09,"53,696","5,592",10.41,"4,220",59.84,"7,052"
OK,2020-12-01,"6,819",72.17,"9,449","1,657",18.08,937,85.88,"1,091"
PA,2020-12-01,"24,744",76.41,"32,382","5,939",18.51,"3,306",83.59,"3,955"
SC,2020-12-01,"7,850",80.74,"9,723",989,10.17,"1,020",80.95,"1,260"
TN,2020-12-01,"12,363",75.33,"16,411","2,603",16.34,"1,862",82.16,"2,164"
UT,2020-12-01,"3,024",57.92,"5,220",570,10.92,462,70.75,653
VA,2020-12-01,"11,948",70.02,"17,063","1,756",10.29,"1,432",70.82,"2,022"
AK,2020-12-02,933,65.02,"1,435",155,10.8,103,81.1,127
AR,2020-12-02,"5,531",73.46,"7,529","1,089",14.46,822,80.99,"1,015"
CO,2020-12-02,"7,028",69.16,"10,162","1,977",19.45,"1,040",69.85,"1,489"
DE,2020-12-02,"1,863",73.49,"2,535",320,12.62,147,84.48,174
FL,2020-12-02,"41,405",79.59,"52,023","4,942",9.7,"5,106",81.66,"6,253"
HI,2020-12-02,"1,778",70.42,"2,525",58,2.28,143,64.13,223
IA,2020-12-02,"5,145",64.38,"7,992","1,117",14.16,541,78.29,691
IL,2020-12-02,"20,636",70.45,"29,291","5,724",19.54,"2,492",68.01,"3,664"
KY,2020-12-02,"8,705",73.37,"11,864","1,846",15.56,"1,171",75.11,"1,559"
MA,2020-12-02,"11,886",70.04,"16,970","1,265",7.45,"1,044",56.49,"1,848"
ME,2020-12-02,"1,981",69.29,"2,859",182,6.38,230,72.48,318
MN,2020-12-02,"7,619",75.76,"10,056","2,000",19.89,782,81.46,960
MO,2020-12-02,"11,494",79.75,"14,412","2,646",18.36,"1,559",87.09,"1,790"
MS,2020-12-02,"5,374",66.65,"8,063","1,086",13.47,721,83.93,859
MT,2020-12-02,"1,971",68.25,"2,888",431,14.92,169,72.84,232
ND,2020-12-02,"1,574",78.18,"2,014",430,21.35,140,88.05,159
